name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Magnum;bittering;USA,GER;Columbus,Galena,Hallertauer Taurus,Horizon,Northdown,Northern Brewer,Nugget;;;Magnun,Magnung,Magnu,Magnum (us),magnum (de),german magnum,bittering,keserű
Mandarina Bavaria;aroma;GER;Cascade,Hüll Melon;Citrus,Herbal,Lemon,Resin,Tangerine,Tropical Fruits;;Bavarian Mandarina,Bavaria Mandarina,Mandarin Bavaria,Mandrina Bavaria,Mandarina Barvaria,Mandarina,madaria bavaria,manderina bavaria,mandaria
Mapuche;dual-purpose;ARG;;;;
Marco Polo;dual-purpose;;Columbus;Elderflower,Gooseberry,Oregano;;
Marynka;dual-purpose;POL;Tettnanger;Anise,Citrus,Earthy,Grapefruit,Hay,Herbal,Lemon,Licorice;;
Mathon;aroma;;;;;
Medusa;aroma;USA;Zappa;Alfalfa,Apricot,Citrus,Guava,Lemon,Lime,Melon,Peach;;
Melba;dual-purpose;AUS;;;;
Meridian;aroma;USA;;;;meridian (us)
Merkur;dual-purpose;GER;;;;merkur (de)
Michigan Copper;aroma;USA;;;;MI Copper
Millennium;bittering;USA;Nugget;;;Millenium,millennium (us),millenium (us)
Mimosa;aroma;;;;;
Minstrel;aroma;GBR;;;;
Mistral;dual-purpose;FRA;;;;mistral (fr)
Monroe;aroma;GER;;Cherry,Mild,Orange,Passionfruit,Plum,Raspberry,Smooth,Strawberry;;
Mosaic;dual-purpose;USA;Citra,Simcoe;Blueberry,Bubblegum,Citrus,Earthy,Floral,Grapefruit,Grassy,Papaya,Pine,Rose,Spicy,Tangerine,Tropical Fruits;HBC 369;Moesaic,Mosacic,Mosai,Mossic,Mozaic,Mscc,Mosiac,Mosiac,mosaic (us)
Motueka;aroma;NZL;Saaz,Sterling;Citrus,Floral,Lemon,Lime,Mojito,Tropical Fruits;;Mouteka,motueka (nz),toueka
Mount Hood;aroma;USA;Crystal,Hallertauer Mittelfrüh,Hersbrucker,Liberty;Herbal,Noble,Spicy;;MT Hood,mount hood (us),mt. hood
Mount Rainier;aroma;USA;Fuggle,Hallertauer Mittelfrüh;Citrus,Floral,Licorice,Noble,Spicy;;MT Rainier,Mount Ranier,mount rainier (us)
Moutere;dual-purpose;NZL;;Earthy,Grapefruit,Hay,Passionfruit,Pine,Tropical Fruits;Brooklyn;Mortere
MultiHead;dual-purpose;;;;;
Mystic;aroma;;;;;Mystique
Nadwislanska;aroma;;;;;
Nectaron;dual-purpose;NZL;Citra,Mosaic,Waimea;Citrus,Grapefruit,Passionfruit,Peach,Pineapple,Tropical Fruits;;Nectron
Nelson Sauvin;dual-purpose;NZL;Enigma,Hallertauer Blanc,Motueka,Riwaka;Fruity,Gooseberry,Grape,Whitewine;;Nelson,Nels,Nel,Neslson Sauvin,Nelson Sauvin (nz)
Neo1;dual-purpose;;;;;Neo 1
Neoplanta;dual-purpose;;;;;
Newport;bittering;USA;Brewer's Gold,Fuggle,Galena,Magnum,Nugget;Balsamic,Citrus,Earthy,Whitewine;;newport (us)
Nordgaard;aroma;;;;;
Northdown;dual-purpose;USA,GBR;Northern Brewer;;;northdown (us),northdown (uk)
Northern Brewer;dual-purpose;GER,USA;Brewer's Gold,Chinook,Galena,Magnum,Northern Brewer,Perle;;;Norther,Norther Brewer,Norther Browser,Northerm Brewer,Northern,Nother Brewer,northern brewer (de),northern brewer (us),german n brewer,nb,nothern brewer
Nugget;dual-purpose;USA;Chinook,Columbus,Galena,Magnum;Citrus,Earthy,Geranium,Ginger,Herbal,Lychee,Pineapple;;Nugeet,nuggets,nugget (us)
Oktawia;bittering;;;;;
Olicana;dual-purpose;GBR;;Floral,Grapefruit,Mango,Passionfruit;;
